id,fixture_id,team_id,player_id,assist_id,type,detail,comments,elapsed,extra,minute,player_name,assist_name
319385,1205546,395,2093.0,,Goal,Normal Goal,,29,0,29,German Onugkha,
319392,1205546,398,475575.0,,Goal,Normal Goal,,82,0,82,Caleb Marfo Yirenkyi,
319399,1205547,397,161569.0,,Goal,Normal Goal,,11,0,11,Oliver Sørensen,
319401,1205547,397,162218.0,,Goal,Normal Goal,,23,0,23,Victor Bak Jensen,
319437,1205544,2070,15584.0,,Goal,Own Goal,,53,0,53,Frederik Tingager,
319447,1205544,406,37880.0,,Goal,Normal Goal,,77,0,77,Mikael Anderson,
319472,1205548,401,15693.0,,Goal,Normal Goal,,59,0,59,André Rømer,
319475,1205548,401,198352.0,,Goal,Normal Goal,,69,0,69,Mohamed Touré,
319486,1205553,395,15662.0,,Goal,Normal Goal,,44,0,44,Thomas Gundelund,
319500,1205553,406,15598.0,,Goal,Normal Goal,,89,0,89,Patrick Mortensen,
319507,1205555,402,216770.0,,Goal,Missed Penalty,,34,0,34,Isak Hansen Aarøen,
319529,1205551,401,15697.0,,Goal,Normal Goal,,50,0,50,Frederik Lauenborg,
319530,1205551,401,36999.0,,Goal,Normal Goal,,59,0,59,Wessel Dammers,
319541,1205550,2073,303386.0,,Goal,Normal Goal,,11,0,11,Tonni Adamsen,
319555,1205550,407,15928.0,,Goal,Normal Goal,,77,0,77,Frederik Alves,
319603,1362792,2070,368024.0,,Goal,Normal Goal,,64,0,64,Yonis Njoh,
319627,1362794,625,162766.0,,Goal,Normal Goal,,3,0,3,Lucas Lissens,
319631,1362794,625,457628.0,,Goal,Missed Penalty,,45,5,50,Michael Opoku,
319643,1362762,406,15584.0,,Goal,Normal Goal,,4,0,4,Frederik Tingager,
319646,1362762,406,15964.0,,Goal,Normal Goal,,56,0,56,Tobias Bech,
319662,1362763,407,16176.0,,Goal,Normal Goal,,57,0,57,Nicolai Vallys,
319692,1362765,397,161569.0,,Goal,Penalty,,25,0,25,Oliver Sørensen,
319707,1362795,396,15963.0,,Goal,Own Goal,,13,0,13,Jeppe Grønning,
319717,1362795,2070,299082.0,,Goal,Normal Goal,,63,0,63,Renato Júnior,
319732,1362796,2073,303386.0,,Goal,Penalty,,15,0,15,Tonni Adamsen,
319738,1362796,625,61558.0,,Goal,Missed Penalty,,51,0,51,Sævar Atli Magnússon,
319775,1362767,407,265546.0,,Goal,Normal Goal,,50,0,50,Mathias Kvistgaarden,
319786,1362798,402,15876.0,,Goal,Penalty,,12,0,12,Kasper Jørgensen,
319800,1362768,407,265546.0,,Goal,Normal Goal,,18,0,18,Mathias Kvistgaarden,
319811,1362768,400,42012.0,,Goal,Normal Goal,,57,0,57,Elias Achouri,
319816,1362768,407,932.0,,Goal,Penalty,,90,2,92,Daniel Wass,
319818,1362768,400,18946.0,,Goal,Missed Penalty,,90,7,97,Mohamed Elyounoussi,
319832,1362799,2070,289670.0,,Goal,Normal Goal,,74,0,74,Isak Steiner Jensen,
319837,1362799,2070,289670.0,,Goal,Normal Goal,,89,0,89,Isak Steiner Jensen,
319838,1362769,406,15598.0,,Goal,Normal Goal,,49,0,49,Patrick Mortensen,
319855,1362770,398,48002.0,,Goal,Normal Goal,,38,0,38,Benjamin Nygren,
319861,1362770,398,475575.0,,Goal,Normal Goal,,60,0,60,Caleb Marfo Yirenkyi,
319902,1362803,395,37452.0,,Goal,Normal Goal,,21,0,21,Stefan Velkov,
319903,1362803,2070,444021.0,,Goal,Normal Goal,,27,0,27,Frederik Damkjer,
319904,1362803,2070,289670.0,,Goal,Normal Goal,,39,0,39,Isak Steiner Jensen,
319935,1362802,396,16143.0,,Goal,Penalty,,84,0,84,Lirim Qamili,
319938,1362771,401,57422.0,,Goal,Penalty,,30,0,30,Simen Bolkan Nordli,
319951,1362771,406,15598.0,,Goal,Normal Goal,,87,0,87,Patrick Mortensen,
319952,1362772,397,40594.0,,Goal,Normal Goal,,29,0,29,Adam Buksa,
319969,1362772,397,40594.0,,Goal,Penalty,,90,1,91,Adam Buksa,
319979,1362804,396,16143.0,,Goal,Missed Penalty,,20,0,20,Lirim Qamili,
319980,1362804,396,16143.0,,Goal,Normal Goal,,20,0,20,Lirim Qamili,
319998,1362805,2073,94322.0,,Goal,Normal Goal,,17,0,17,Callum McCowatt,
320025,1362774,401,37171.0,,Goal,Own Goal,,4,0,4,Sean Klaiber,
320029,1362774,407,265546.0,,Goal,Normal Goal,,35,0,35,Mathias Kvistgaarden,
320032,1362774,407,265546.0,,Goal,Normal Goal,,45,2,47,Mathias Kvistgaarden,
320035,1362774,407,199143.0,,Goal,Penalty,,59,0,59,Yuito Suzuki,
320036,1362774,401,128761.0,,Goal,Normal Goal,,61,0,61,Nicolas Dyhr,
320075,1362776,398,404026.0,,Goal,Own Goal,,66,0,66,Ousmane Diao,
320081,1362776,398,342654.0,,Goal,Penalty,,81,0,81,Sindre Walle Egeli,
320084,1362776,397,371909.0,,Goal,Normal Goal,,87,0,87,Valdemar Byskov,
320097,1362807,396,39111.0,,Goal,Own Goal,,3,0,3,Ivan Näsberg,
320111,1362807,2070,368024.0,,Goal,Normal Goal,,73,0,73,Yonis Njoh,
320119,1362808,625,456332.0,,Goal,Normal Goal,,19,0,19,Jesper Cornelius,
320132,1362778,400,2736.0,,Goal,Normal Goal,,43,0,43,Lukas Lerager,
320135,1362778,406,25312.0,,Goal,Normal Goal,,65,0,65,Felix Beijmo,
320147,1362778,400,15.0,,Goal,Normal Goal,,90,5,95,Thomas Delaney,
320152,1362779,397,340625.0,,Goal,Normal Goal,,41,0,41,Franculino Djú,
320179,1362780,401,16105.0,,Goal,Own Goal,,20,0,20,Andreas Hansen,
320231,1362781,400,159511.0,,Goal,Normal Goal,,81,0,81,Gabriel Pereira,
320242,1362782,397,161569.0,,Goal,Penalty,,22,0,22,Oliver Sørensen,
320252,1362782,397,340625.0,,Goal,Penalty,,83,0,83,Franculino Djú,
320275,1214037,77,163004.0,,Goal,Normal Goal,,15,0,15,Esteban Lepaul,
320295,1214040,85,41585.0,,Goal,Penalty,,59,0,59,Gonçalo Ramos,
320322,1214035,1063,8683.0,,Goal,Normal Goal,,41,0,41,Irvin Cardona,
320367,1214042,106,326068.0,,Goal,Normal Goal,,64,0,64,Kamory Doumbia,
320407,1214038,81,85041.0,,Goal,Normal Goal,,90,9,99,Amine Gouiri,
320409,1212739,97,368030.0,,Goal,Normal Goal,,45,1,46,Eli Junior Kroupi,
320426,1212739,97,144319.0,,Goal,Normal Goal,,90,3,93,Sambou Soumano,
320454,1212735,87,419584.0,,Goal,Missed Penalty,,90,0,90,Joan Tincres,
320477,1212737,433,190959.0,,Goal,Normal Goal,,69,0,69,Malik Sellouki,
320487,1212740,90,23630.0,,Goal,Normal Goal,,40,0,40,Rayan Ghrieb,
320506,1212738,1301,303485.0,,Goal,Normal Goal,,29,0,29,Tawfik Bentayeb,
320569,1208382,51,1469.0,,Goal,Penalty,,29,0,29,Danny Welbeck,
320632,1208806,728,47543.0,,Goal,Normal Goal,,66,0,66,Álvaro García,
320643,1208807,532,47463.0,,Goal,Penalty,,8,0,8,Pepelu,
320644,1208807,532,162127.0,,Goal,Normal Goal,,18,0,18,Diego López,
320647,1208807,532,47264.0,,Goal,Penalty,,37,0,37,Hugo Duro,
320669,1208803,536,1489.0,,Goal,Penalty,,45,8,53,Nemanja Gudelj,
320682,1208803,538,47348.0,,Goal,Normal Goal,,90,1,91,Borja Iglesias,
320683,1208803,536,297311.0,,Goal,Normal Goal,,90,8,98,Kike Salas,
320719,1208800,530,8492.0,,Goal,Normal Goal,,11,0,11,Alexander Sørloth,
320731,1224268,161,18967.0,,Goal,Own Goal,,1,0,1,Leo Østigård,
320758,1224270,164,714.0,,Goal,Normal Goal,,45,3,48,Nadiem Amiri,
320832,1223950,489,17.0,,Goal,Normal Goal,,79,0,79,Christian Pulišić,
320875,1223949,487,211.0,,Goal,Normal Goal,,90,6,96,Matías Vecino,
320898,1213728,206,36985.0,,Goal,Penalty,,66,0,66,Jizz Hornkamp,
320908,1213727,417,37124.0,,Goal,Normal Goal,,10,0,10,Richonell Margaret,
320910,1213727,210,7783.0,,Goal,Penalty,,36,0,36,Ion Nicolaescu,
320945,1213721,426,37735.0,,Goal,Normal Goal,,68,0,68,Mike Eerdhuijzen,
320953,1232018,226,336570.0,,Goal,Normal Goal,,3,0,3,Demir Ege Tıknaz,
320955,1232018,226,443714.0,,Goal,Normal Goal,,28,0,28,Theofanis Bakoulas,
320972,1232018,225,417556.0,,Goal,Own Goal,,90,4,94,Konstantinos Kostoulas,
320984,1232019,242,379985.0,,Goal,Normal Goal,,58,0,58,Gustavo Sá,
321042,1238160,564,1651.0,,Goal,Missed Penalty,,20,0,20,Krzysztof Piątek,
321051,1238160,611,198.0,,Goal,Normal Goal,,60,0,60,Milan Škriniar,
321062,1238160,564,207236.0,,Goal,Normal Goal,,90,1,91,Ömer Faruk Beyaz,
321064,1238163,996,56026.0,,Goal,Normal Goal,,52,0,52,Andraž Šporar,
321166,1217923,799,183776.0,,Goal,Normal Goal,,24,0,24,Urko Izeta,
321181,1217923,5254,279482.0,,Goal,Normal Goal,,87,0,87,Brian Cipenga,
321185,1217919,539,47225.0,,Goal,Normal Goal,,11,0,11,Roger Brugué,
321214,1217918,9580,179075.0,,Goal,Normal Goal,,77,0,77,Aitor Córdoba Querejeta,
321227,1217922,5262,47481.0,,Goal,Normal Goal,,4,0,4,Nacho Martínez,
321260,1371476,249,44843.0,,Goal,Normal Goal,,25,0,25,Martin Boyle,
321280,1371479,250,45063.0,,Goal,Penalty,,31,0,31,Danny Armstrong,
321301,1371478,254,45172.0,,Goal,Normal Goal,,62,0,62,Alan Forrest,
321335,1361689,637,349.0,,Goal,Own Goal,,18,0,18,Aleksa Terzić,
321336,1361689,637,199931.0,,Goal,Normal Goal,,20,0,20,William Bøving,
321338,1361689,637,950.0,,Goal,Normal Goal,,48,0,48,Gregory Wüthrich,
321341,1361689,571,7719.0,,Goal,Own Goal,,59,0,59,Emanuel Aiwu,
321350,1361719,618,19792.0,,Goal,Penalty,,25,0,25,Mike-Steven Bähre,
321355,1361719,4256,268373.0,,Goal,Normal Goal,,61,0,61,Tio Cipot,
321378,1361721,1398,7685.0,,Goal,Penalty,,43,0,43,Valentino Müller,
321380,1361721,1398,15586.0,,Goal,Normal Goal,,48,0,48,Bror Blume Jensen,
321394,1361721,1398,334408.0,,Goal,Normal Goal,,90,1,91,Mahamadou Diarra,
321395,1361721,1405,7290.0,,Goal,Missed Penalty,,90,6,96,Kosmas Gezos,
321400,1374041,62,19961.0,,Goal,Penalty,,45,3,48,Harrison Burrows,
321423,1374043,746,349799.0,,Goal,Normal Goal,,88,0,88,Eliezer Mayenda,
321428,1226458,171,193870.0,,Goal,Normal Goal,,46,0,46,Janis Antiste,
321475,1226456,179,37759.0,,Goal,Penalty,,15,0,15,Martijn Kaars,
321490,1226457,1660,202501.0,,Goal,Normal Goal,,11,0,11,Fisnik Asllani,
321505,1226454,1652,203205.0,,Goal,Normal Goal,,7,0,7,Tom Gaal,
321509,1226454,1652,321716.0,,Goal,Missed Penalty,,36,0,36,Semir Telalović,
321515,1226454,175,178169.0,,Goal,Own Goal,,49,0,49,Philipp Strompf,
321517,1226454,175,162773.0,,Goal,Normal Goal,,62,0,62,Ransford Yeboah Königsdörffer,
321529,1371993,531,383780.0,,Goal,Normal Goal,,31,0,31,Mikel Jauregizar,
